int (keyword) (Line: 1, Column: 1)
main (keyword) (Line: 1, Column: 5)
( (symbol) (Line: 1, Column: 9)
) (symbol) (Line: 1, Column: 10)
{ (symbol) (Line: 1, Column: 11)
int (keyword) (Line: 2, Column: 2)
x (identifier) (Line: 2, Column: 6)
= (assignment) (Line: 2, Column: 8)
1 (integer_number) (Line: 2, Column: 10)
; (symbol) (Line: 2, Column: 11)
int (keyword) (Line: 3, Column: 2)
y (identifier) (Line: 3, Column: 6)
= (assignment) (Line: 3, Column: 8)
3 (integer_number) (Line: 3, Column: 10)
; (symbol) (Line: 3, Column: 11)
int (keyword) (Line: 4, Column: 1)
w (identifier) (Line: 4, Column: 5)
; (symbol) (Line: 4, Column: 6)
if (keyword) (Line: 6, Column: 2)
( (symbol) (Line: 6, Column: 5)
x (identifier) (Line: 6, Column: 6)
== (relational_op) (Line: 6, Column: 7)
0 (integer_number) (Line: 6, Column: 9)
) (symbol) (Line: 6, Column: 10)
then (keyword) (Line: 6, Column: 12)
int (keyword) (Line: 7, Column: 3)
x (identifier) (Line: 7, Column: 7)
= (assignment) (Line: 7, Column: 9)
2 (integer_number) (Line: 7, Column: 11)
; (symbol) (Line: 7, Column: 12)
if (keyword) (Line: 9, Column: 2)
( (symbol) (Line: 9, Column: 4)
x (identifier) (Line: 9, Column: 5)
== (relational_op) (Line: 9, Column: 6)
2 (integer_number) (Line: 9, Column: 8)
) (symbol) (Line: 9, Column: 9)
then (keyword) (Line: 9, Column: 11)
int (keyword) (Line: 10, Column: 2)
w (identifier) (Line: 10, Column: 6)
= (assignment) (Line: 10, Column: 8)
2 (integer_number) (Line: 10, Column: 10)
; (symbol) (Line: 10, Column: 11)
end (keyword) (Line: 12, Column: 2)
end (keyword) (Line: 13, Column: 2)
if (keyword) (Line: 15, Column: 1)
( (symbol) (Line: 15, Column: 3)
x (identifier) (Line: 15, Column: 4)
== (relational_op) (Line: 15, Column: 5)
2 (integer_number) (Line: 15, Column: 7)
) (symbol) (Line: 15, Column: 8)
then (keyword) (Line: 15, Column: 10)
int (keyword) (Line: 16, Column: 2)
w (identifier) (Line: 16, Column: 6)
= (assignment) (Line: 16, Column: 8)
4 (integer_number) (Line: 16, Column: 10)
; (symbol) (Line: 16, Column: 11)
end (keyword) (Line: 17, Column: 1)
int (keyword) (Line: 20, Column: 2)
c (identifier) (Line: 20, Column: 6)
= (assignment) (Line: 20, Column: 8)
x (identifier) (Line: 20, Column: 10)
+ (add_op) (Line: 20, Column: 12)
w (identifier) (Line: 20, Column: 14)
; (symbol) (Line: 20, Column: 15)
} (symbol) (Line: 22, Column: 1)
